Number,Descriptor,Context,CharLimit,Text
01149,npc.interaction.next_step,"User Interface, interaction with NPC",1400,繼續
01150,npc.interaction.not_much_but_orders_are_orders,"User Interface, interaction with NPC",1400,湊活吧。命令就是命令...
01151,npc.interaction.not_much_as_you_can_see_this_crystal,"User Interface, interaction with NPC",1400,沒多少……這塊晶體與衆不同，會釋放極強的輻射，多虧了密封設施我們才安然無恙。\n目前還沒弄清釋放的頻率，更別提其本質了。\n不過這輻射確實邪門，似乎帶點催眠效果。我幹這行以來還是頭回見。\n來扎科夫之前，聽說烏克蘭某座廢棄核電站裏也有類似的地方和晶體，再多的就不知道了。\n那邊傳出的情報寥寥無幾，不過扎科夫這邊同樣也是消息封閉。\n真是暴殄天物，要是能有充足的資源和專業裝置，天知道能發現什麼。\n我最好還是閉嘴吧，這種想法可不受待見，免得被大頭兵聽見找麻煩。
01152,npc.interaction.nothing_in_particular_some_days_i_need,"User Interface, interaction with NPC",1400,沒什麼特別的，出來呼吸新鮮空氣。\n一直待在地堡里老難受了。
01153,npc.interaction.now_that_you_have_killed_several_green,"User Interface, interaction with NPC",1400,幹掉了綠軍的幾名士兵，也算是讓他們見識到你不好惹了。\n給你個建議：和阿爾捷莫維奇聊聊，看能不能讓深紅公司的商人進駐地堡。\n無論陣營之間如何交戰，零希沃特地堡仍然是安全區。\n這並非由我的上司甚至當地政府決定，而是此地堡受相關的國際協議保護。\n我們想進去的話只能硬闖，但地堡裏的平民太多了，造成平民傷亡在政治層面上絕非明智之舉。\n所以去和阿爾捷莫維奇聊聊吧，找個折中的辦法。零希沃特地堡裏多個商人的話，能讓我們都賺上一筆。
01154,npc.interaction.npc_can_give_you_usefull_information,"User Interface, interaction with NPC",1400,NPC 可以提供有用的信息和任務，或者和你交易。
01155,npc.interaction.of_any_kind_people_come_in_here_npc,"User Interface, interaction with NPC",1400,什麼樣的都有。\n人們只需告訴我想要什麼。我的工作就是尋找願意爲了報酬而去冒險的傢伙。
01156,npc.interaction.of_course_it_is_no_mutant_or_bandit,"User Interface, interaction with NPC",1400,廢話，怪物和強盜永遠通過不了這道大門。
01157,npc.interaction.oh_oh_beautiful_isn_t_it_npc_dialogue,"User Interface, interaction with NPC",1400,噢！噢！很漂亮，對不對？\n垃圾佬從一個孩子身上拿到的。噢！垃圾佬沒有偷！不！不！垃圾佬不偷東西！\n那孩子穿着這身漂亮衣服，但幸運的是他死了。對，死了。多麼美好的一天！\n垃圾佬拿走了衣服，現在它只屬於垃圾佬了！只屬於他一個人！
01158,npc.interaction.oh_this_place_is_beautiful_npc_dialogue,"User Interface, interaction with NPC",1400,噢！這地方很漂亮！聽垃圾佬說！\n大爆炸後，他們把我們帶到這裏來，路上有很多人在嘔吐。\n他們很快就死了，所以垃圾佬拿走他們的東西，但其他人不同意，對垃圾佬很不好。\n垃圾佬不明白，他們死了，他們要這些漂亮的寶貝有什麼用呢？\n所以垃圾佬就藏在這裏，有時出去尋找寶貝，漂亮的寶貝。\n垃圾佬看到的活人越來越少，死人越來越多，對，對。\n所以垃圾佬可以拿走他們的東西而不會有人生氣了。
01159,npc.interaction.oh_so_you_wanna_be_a_hunter_npc_dialogue,"User Interface, interaction with NPC",1400,想當獵人？出去搜刮物資的人都叫這個。\n去跟列車旁邊的列車長談談吧。\n想多瞭解各個區域就去找嚮導，通常能在地堡大門附近碰見他。\n祝你好運！
01160,npc.interaction.on_april_4_2017_the_plant_exploded_npc,"User Interface, interaction with NPC",1400,2017 年 4 月 4 日核電站發生爆炸。沒人知道當時究竟怎麼回事，但絕對跟赤紅公司脫不了干係。\n官方聲稱沒搞危險實驗，可惜根本沒人信。\n有膽的話可以親自去問問，他們在工業區有個基地。\n不過別抱太大希望，估計也套不出什麼實話。
01161,npc.interaction.once_you_are_ready_turn_on_the_lights,"User Interface, interaction with NPC",1400,準備好了就打開燈。
01162,npc.interaction.once_you_are_ready_turn_on_the_lights_sentence_period,"User Interface, interaction with NPC",1400,準備好了就打開燈。
01163,npc.interaction.pay_5000_roubles_to_pass,"User Interface, interaction with NPC",1400,5000盧布，我就放行。
01164,npc.interaction.priviet_comrade_do_you_wanna_buy,"User Interface, interaction with NPC",1400,你好，同志！想買點兒什麼嗎？
01165,npc.interaction.priviet_comrade_how_can_i_help_you,"User Interface, interaction with NPC",1400,你好，同志！有什麼能幫你的嗎？
01166,npc.interaction.recently_helicopters_have_crashed_near,"User Interface, interaction with NPC",1400,最近有幾架直升機在沼澤附近墜毀，這些是機組人員的屍體...\n天哪，他們遭遇了什麼？！\n跟醫生談談，也許他能告訴你什麼。
01167,npc.interaction.refill_hunger_and_thirst,"User Interface, interaction with NPC",1400,果腹
01168,npc.interaction.repair_armor,"User Interface, interaction with NPC",1400,修理護甲
01169,npc.interaction.repair_equipment,"User Interface, interaction with NPC",1400,修理裝備
01170,npc.interaction.so_do_you_want_to_join_us_that_would,"User Interface, interaction with NPC",1400,你想加入我們？一個明智的選擇，獵人！\n你可以幫助我們對抗綠軍，並加強我們對這個地區的控制。下次你再來找我，我一定會給你安排工作的。\n\n\n確定要加入深紅公司嗎？\n你在此陣營的聲望上限將變爲1000，允許你解鎖新的裝備和額外的任務。\n你將成爲綠軍的敵人。
01171,npc.interaction.so_it_was_you_good_job_hunter_npc,"User Interface, interaction with NPC",1400,原來是你？幹得好，獵人！\n那些食屍鬼一直在殺我的人。\n深紅公司非常感謝你。
01172,npc.interaction.so_that_s_your_brother_vadim,"User Interface, interaction with NPC",1400,那是你哥瓦迪姆？
01173,npc.interaction.so_they_want_me_dead_npc_dialogue,"User Interface, interaction with NPC",1400,他們想要我死？哈！\n我知道這一天遲早會來，綠軍不會容忍我這麼一塊絆腳石。\n他們命令你來幹這個？\n那麼，你到底是獵人還是士兵？\n隨你的便吧，我已經又老又糊塗了，可我僅剩的這點體面不允許我向你開口求饒。
01174,npc.interaction.so_you_want_a_crimson_corporation,"User Interface, interaction with NPC",1400,你想讓深紅公司的人進地堡來？\n真該死！這個提議簡直令人作嘔。\n薛帕德擅長玩弄政治，但他十足十是個蠢貨！我一點也不在乎外面的世界發生了什麼，我有我的職責。\n\n我接受你的提議，可你，獵人，你不再是綠軍的夥伴。交易和任務依然有效，但不要指望我的士兵會在外邊幫你。\n滾吧，等你回來的時候就能看到那羣得志的小人了。
01175,npc.interaction.so_you_want_to_enlist_npc_dialogue,"User Interface, interaction with NPC",1400,你想參軍？非常好，獵人！\n我正需要你這樣經驗豐富的好手。下次你再來找我，我看看能不能給你找點活幹。\n\n\n確定要加入綠軍嗎？\n你在此陣營的聲望上限將變爲1000，允許你解鎖新的裝備和額外的任務。\n你將成爲深紅公司的敵人。
01176,npc.interaction.sorry_comrade_i_have_something_else_to,"User Interface, interaction with NPC",1400,對不起，同志！我還有別的事要做。
01177,npc.interaction.tell_me_more_about_the_forest,"User Interface, interaction with NPC",1400,跟我講講森林
01178,npc.interaction.tell_me_more_about_the_industrial_area,"User Interface, interaction with NPC",1400,跟我講講工業區
01179,npc.interaction.tell_me_more_about_the_makeshift_camp,"User Interface, interaction with NPC",1400,跟我講講臨時營地
01180,npc.interaction.tell_me_more_about_old_nuclear_power,"User Interface, interaction with NPC",1400,跟我講講舊核電站
01181,npc.interaction.tell_me_more_about_other_areas,"User Interface, interaction with NPC",1400,跟我講講其他地區
01182,npc.interaction.tell_me_more_about_the_green_army,"User Interface, interaction with NPC",1400,跟我講講綠軍
01183,npc.interaction.tell_me_more_about_the_nuclear_plant,"User Interface, interaction with NPC",1400,跟我講講核電站的事
01184,npc.interaction.tell_me_more_about_the_old_nuclear,"User Interface, interaction with NPC",1400,跟我講講舊核電站
01185,npc.interaction.tell_me_more_about_your_faction,"User Interface, interaction with NPC",1400,跟我講講你們
01186,npc.interaction.tell_me_something,"User Interface, interaction with NPC",1400,我想問些事情
01187,npc.interaction.tell_me_something_dickhead,"User Interface, interaction with NPC",1400,屌毛，我問，你答
01188,npc.interaction.that_s_because_you_re_from_the_zero,"User Interface, interaction with NPC",1400,那是因爲你來自零希沃特地堡，早就被綠軍洗腦了。\n按協議他們根本不此進駐紮科夫，只不過爆炸後局勢惡化。\n他們便打着疏散居民的幌子進來，卻賴着不走想查明事發原因。\n明面上說是保護倖存者，全都是扯淡。\n我們早就截獲了好幾段他們指揮官的無線電通話。\n不知道他們指望能查出什麼，反正這邊也沒什麼好藏着掖着的……
01189,npc.interaction.the_green_army_is_a_delegation_npc,"User Interface, interaction with NPC",1400,綠軍是本地陸軍的分支。\n在屏障出現並隔絕通訊後，我決定繼續執行上級的命令。我們盡一切努力讓這裏的文明之火不至於熄滅。\n有人說我們已經變成了一個獨裁政權，但事實是我們必須動用武力來維持秩序。無法想象沒有我們的話這個地方會變成什麼樣子。
01190,npc.interaction.the_only_way_to_leave_the_map_is_to,"User Interface, interaction with NPC",1400,撤離點是唯一的途徑。\n它們在個人終端地圖上顯示爲綠色圓圈。\n祝你好運！
01191,npc.interaction.there_s_mr_junk_s_treasure_npc_dialogue,"User Interface, interaction with NPC",1400,那是垃圾佬的寶貝！別盯着它看！\n垃圾佬會不高興的！\n別打開那扇門！不！不！不！\n你敢！
01192,npc.interaction.they_proceed_slowly_to_my_chagrin_npc,"User Interface, interaction with NPC",1400,進展非常緩慢。\n開始時，我們興奮地離開地堡展開採樣收集工作，但一下子就損失了過半的小隊。之後也很難找到願意冒險的人。\n願意出去的都是想撈一筆的普通人，可我需要的是受過良好教育和頭腦靈活的傢伙。
01193,npc.interaction.this_area_is_reserved_for_the_green,"User Interface, interaction with NPC",1400,這是綠軍控制的地堡區，你沒有得到授權。
01194,npc.interaction.this_area_is_restricted_you_do_not,"User Interface, interaction with NPC",1400,這裏是禁區，你沒有得到授權。\n你每次通過都得付5000盧布。
01195,npc.interaction.this_is_grigoriy_he_was_the_only_nice,"User Interface, interaction with NPC",1400,這是格里戈里！他是垃圾佬唯一的朋友。\n他和垃圾佬一起長大，他們一起去尋找寶貝。\n有一天，格里戈里發現了一個漂亮的寶貝，但垃圾佬想據爲己有。格里戈里非常生氣，把寶貝緊緊地握在手裏。\n人人都說垃圾佬是傻瓜，但垃圾佬知道頭是人的弱點，所以垃圾佬拿起一塊石頭，朝格里戈里的頭砸了幾下。\n對，對，垃圾佬聰明。\n垃圾佬很高興，因爲他得到了寶貝，但也很傷心，因爲格里戈里再也不動了。\n從那天起，垃圾佬再也不拿別人的東西了。不！\n不！不！
01196,npc.interaction.this_is_my_current_base_i_usually_move,"User Interface, interaction with NPC",1400,我在考慮何時搬家。搬家對我來說是常事，但這裏有家的感覺。我是說真正的家。\n哦，就像過去的美好時光...
01197,npc.interaction.this_is_the_zero_sievert_npc_dialogue,"User Interface, interaction with NPC",1400,這裏是零希沃特，一個建立於冷戰時期的舊地堡，扎科夫唯一的安全區。\n在這裏你可以找到你需要的一切：裝備，補給和任務。
01198,npc.interaction.why_look_where_we_live_now_npc_dialogue,"User Interface, interaction with NPC",1400,爲什麼？看看我們現在生活的地方。\n我是扎科夫一家工廠的廠長。事故發生時，我沒能及時離開。現在我被困在這裏，和這些骯髒的傢伙在一起。
01199,npc.interaction.we_are_trying_to_find_out_what,"User Interface, interaction with NPC",1400,我們正在努力調查災難的真相。\n核電站的爆炸發生在一次常規實驗期間。我們只知道這些，因爲所有參與者都當場死亡，網絡也癱瘓了，我們甚至無法恢復數據。\n士兵是來保護我們的，你看到那些變異的野生動物了嗎？\n我們必須組織一支小隊去核電站，但那裏充滿了輻射和異常，非常危險。
01200,npc.interaction.we_come_from_a_small_town_in_siberia,"User Interface, interaction with NPC",1400,我們來自西伯利亞的一個小鎮。\n參軍是逃離那裏的唯一途徑。
01201,npc.interaction.well_well_a_hunter_what_do_you_want,"User Interface, interaction with NPC",1400,好吧，獵人，你想從深紅公司得到什麼？
01202,npc.interaction.what_a_beautiful_costume_i_guess,"User Interface, interaction with NPC",1400,你這一身…還挺好看？
01203,npc.interaction.what_are_you_doing_here_all_alone,"User Interface, interaction with NPC",1400,你一個人在這裏做什麼？
01204,npc.interaction.what_are_you_doing_here,"User Interface, interaction with NPC",1400,你在這裏做什麼？
01205,npc.interaction.what_are_you_doing_out_here,"User Interface, interaction with NPC",1400,你在這裏做什麼？
01206,npc.interaction.aren_t_you_scared_to_be_out_here,"User Interface, interaction with NPC",1400,你跑到這裏來不害怕嗎？
01207,npc.interaction.what_can_you_tell_me_about_an_old,"User Interface, interaction with NPC",1400,你能跟我講講烏克蘭的舊核電站嗎？
01208,npc.interaction.what_can_you_tell_me_about_this_area,"User Interface, interaction with NPC",1400,你能跟我講講這個地方嗎？
01209,npc.interaction.what_did_you_discover,"User Interface, interaction with NPC",1400,你發現了什麼？
01210,npc.interaction.what_do_you_mean_oh_oh_npc_dialogue,"User Interface, interaction with NPC",1400,什麼意思？噢！對！對！\n垃圾佬是誰？嗯...\n垃圾佬是誰？噢！垃圾佬的名字是垃圾佬！對，因爲人們都這麼叫他。\n因爲垃圾佬喜歡蒐集寶貝。\n垃圾佬不懂，你應該問問他們，但垃圾佬認爲他們現在都死了。\n對！對！死了！死了！
01211,npc.text.what_do_you_want,NPC text,96,你想怎樣？
01212,npc.interaction.what_does_crimson_corporation_have_to,"User Interface, interaction with NPC",1400,深紅公司和這次事故有什麼關係？
01213,npc.interaction.what_does_the_crimson_corporation_do,"User Interface, interaction with NPC",1400,深紅公司是做什麼的？
01214,npc.interaction.what_happened_at_zakov,"User Interface, interaction with NPC",1400,扎科夫發生了什麼？
01215,npc.interaction.what_happened_to_those_people_in_the,"User Interface, interaction with NPC",1400,那些躺在牀上的人是怎麼回事？
01216,npc.interaction.what_happened,"User Interface, interaction with NPC",1400,發生了什麼？
01217,npc.interaction.what_is_that_thing_that_looks_like_a,"User Interface, interaction with NPC",1400,那個看起來跟人一樣的玩意兒是什麼？
01218,npc.interaction.what_is_the_crimson_corporation,"User Interface, interaction with NPC",1400,深紅公司？
01219,npc.interaction.what_is_the_plan,"User Interface, interaction with NPC",1400,計劃是什麼？
01220,npc.interaction.what_is_this_place,"User Interface, interaction with NPC",1400,這是什麼地方
01221,npc.interaction.what_is_your_relationship_with_the,"User Interface, interaction with NPC",1400,你們和綠軍是什麼關係？
01222,npc.interaction.what_kind_of_tasks_can_you_give_me,"User Interface, interaction with NPC",1400,你會給我什麼任務？
01223,npc.interaction.what_the_hell_is_that_big_crystal,"User Interface, interaction with NPC",1400,那個水晶到底是什麼鬼？
01224,npc.interaction.what_the_hell_is_that_purple_crystal,"User Interface, interaction with NPC",1400,那紫色水晶到底是什麼鬼？
01225,npc.interaction.what_was_this_place_like_before_the,"User Interface, interaction with NPC",1400,災難發生前這個地方是什麼樣兒的？
01226,npc.interaction.what_s_behind_that_door,"User Interface, interaction with NPC",1400,那扇門後面是什麼？
01227,npc.interaction.what_s_the_point_of_talking_to_npc,"User Interface, interaction with NPC",1400,和NPC交流有什麼意義？
01228,npc.interaction.when_do_we_start,"User Interface, interaction with NPC",1400,我們什麼時候開始？
01229,npc.interaction.where_are_you_from,"User Interface, interaction with NPC",1400,你來自哪裏？
01230,npc.interaction.where_can_i_find_some_jobs,"User Interface, interaction with NPC",1400,去哪兒找活幹？
01231,npc.interaction.where_can_i_find_some_tasks,"User Interface, interaction with NPC",1400,我在哪能找到任務？
01232,npc.interaction.where_can_i_store_my_items,"User Interface, interaction with NPC",1400,我的物品此存放在哪兒？
01233,npc.interaction.where_do_you_come_from,"User Interface, interaction with NPC",1400,你從哪裏來的？
01234,npc.interaction.who_am_i_who_are_you_npc_dialogue,"User Interface, interaction with NPC",1400,我是誰？我還沒問你是誰，就這樣闖進我家！\n唉...抱歉，我不習慣有客人。\n我叫伊戈爾，以前是個獵人。哦，不是現在那些被稱爲獵人的傢伙。災難發生前，我靠着我不愛說話的莫辛老夥計和一把Toz -34以狩獵動物爲生。\n不，別打什麼歪主意。如果你要得到它們，就得先殺了我。
01235,npc.interaction.who_are_you_and_why_are_you_here,"User Interface, interaction with NPC",1400,你是誰？在這裏做什麼？
01236,npc.interaction.who_are_you,"User Interface, interaction with NPC",1400,你是誰？
01237,npc.interaction.who_told_you_about_this_npc_dialogue,"User Interface, interaction with NPC",1400,誰告訴你的？好吧，算了。\n本來我是不讓說這個的，但看在你幫了我們這麼多的份上，我可以爲你破例一次。\n其實我知道的也不多。之前跟你說過，我原本只是個醫生和研究員。\n在他們疏散我們來這裏的路上，我聽到有幾位綠軍的高官說起幾年前烏克蘭也發生過類似事件：類似的異常，輻射對環境產生的變化。\n他們提到了一臺讓人發狂的機器和一幫打扮得像邪教的人。\n真是夠扯的，我當時根本不信。但等到聽到分析出的異常數據，我才明白真的有這回事。\n總之當意識到我在偷聽時，他們只是看着我，無動於衷，就好像他們知道我無論如何也不會離開這裏一樣...
01238,npc.interaction.why_all_these_soldiers_what_are_you,"User Interface, interaction with NPC",1400,爲什麼有這麼多士兵？你們要在這裏做什麼？
01239,npc.interaction.why_am_i_always_the_only_one_doing,"User Interface, interaction with NPC",1400,爲什麼只有我一個人執行這些任務？
01240,npc.interaction.why_are_you_so_rude,"User Interface, interaction with NPC",1400,爲什麼這麼粗暴？
01241,npc.interaction.why_can_t_i_go_through,"User Interface, interaction with NPC",1400,爲什麼不能過去？
01242,npc.interaction.yeah_he_used_to_be_nicer_before_he,"User Interface, interaction with NPC",1400,是的。他在成爲陸軍特工前是個十分友善的人。他經歷過很多事情。\n他是將軍親自挑選來這裏的。當時他問我願不願意和他一起，我就答應了。\n我本以爲在這種特殊局勢下服役，能在軍中有個大好前程...\n結果我們一腳踏進了地獄的大門。
01243,npc.interaction.yes_no_mutant_or_bandit_has_ever_made,"User Interface, interaction with NPC",1400,當然，怪物和強盜都別想通過這扇門！
01244,npc.interaction.you_re_not_a_man_of_many_words_i_see,"User Interface, interaction with NPC",1400,你似乎不愛說話
01245,npc.interaction.you_re_not_the_only_one_you_re_just,"User Interface, interaction with NPC",1400,你可不是唯一接活的人，你只是目前唯一活着回來的...\n看吧，這裏全都是自欺欺人的可憐蟲，幻想着有一天自己會被接走，回到曾經的家。\n家已經不存在了...\n大多數人只敢蒐集點兒物資，只有最勇敢或者說最不要命的人才會去幹你現在接的活。\n綠軍爲什麼不去解決這些破事兒？\n據我所知，他們接到的命令是控制住這個地區，尤其是杜絕有人去往外面的世界。
01246,npc.interaction.any_interesting_news,"User Interface, interaction with NPC",1400,有什麼有趣的消息？
01247,npc.interaction.this_is_none_of_your_business_hunter,"User Interface, interaction with NPC",1400,這不關你的事吧，獵人？
01248,npc.interaction.well_obviously_a_little_bit_npc_dialogue,"User Interface, interaction with NPC",1400,嗯...顯然還是有一點的。\n你的背後隨時可能冒出一頭食屍鬼。然而有什麼辦法呢？這就是扎科夫。
01249,npc.interaction.nah_i_am_prepared_nthe_only_thing_that,"User Interface, interaction with NPC",1400,不，我有充分的心理準備！\n唯一能嚇到我的就是伏特加喝完了！哈哈！
01250,npc.interaction.well_i_m_sorry_but_i_can_t_help_you_ni,"User Interface, interaction with NPC",1400,呃，很抱歉，沒有。\n一般來說，我只關注自己的事。
01251,npc.interaction.i_heard_that_an_old_man_lives_in_the,"User Interface, interaction with NPC",1400,森林裏住着一位老人。\n聽說他趕走了上門強行遷移平民的綠軍。\n太有膽量了！
01252,npc.interaction.try_to_be_careful_if_you_go_to_the,"User Interface, interaction with NPC",1400,如果你準備去森林中央的村莊，一定要小心。\n我聽說最近有一幫強盜佔據了那裏。
01253,npc.interaction.sorry_i_don_t_have_any,"User Interface, interaction with NPC",1400,抱歉，沒有...
01254,npc.interaction.i_heard_that_a_strange_guy_lives_in,"User Interface, interaction with NPC",1400,我聽說有個奇怪的傢伙躲在臨時營地。\n我不記得名字了，但他們說他瘋瘋癲癲的。
01255,npc.name.yulian_borisov,NPC name,48,尤利安·鮑里索夫
01256,npc.name.zhukov,NPC name,48,朱可夫
01257,npc.name.tikhon,NPC name,48,季洪
01258,npc.name.toma,NPC name,48,托馬
01259,npc.trade.trade,Trade with an NPC,48,交易
01260,npc.name.vadim,NPC name,48,瓦迪姆
01261,npc.name.vinogradov,NPC name,48,維諾格拉多夫
01262,npc.name.vladimir,NPC name,48,弗拉基米爾
01263,quest.name.the_guide,Quest names,64,嚮導
01264,npc.name.osipov,NPC name,48,奧西波夫
01265,npc.name.rostya,NPC name,48,羅斯佳
01266,npc.name.sergeev,NPC name,48,謝爾蓋耶夫
01267,npc.name.smirnov,NPC name,48,斯米爾諾夫
01268,npc.name.spiridon,NPC name,48,斯皮里頓
01269,npc.name.stepan,NPC name,48,斯捷潘
01270,quest.task,"Synonym for quest, used in dialogue",48,任務
01271,npc.name.solovev,NPC name,48,索洛維約夫
01272,npc.name.pushkin,NPC name,48,普希金
01273,npc.name.popo,NPC name,48,波波
01274,npc.name.nikitin,NPC name,48,尼基京
01275,npc.name.nikolaev,NPC name,48,尼古拉耶夫
01276,npc.name.mr_gears,NPC name,48,齒輪先生
01277,npc.name.koloda,NPC name,48,科洛達
01278,npc.name.kuzmin,NPC name,48,庫茲明
01279,npc.name.lebedev,NPC name,48,列別傑夫
01280,npc.name.ludmil,NPC name,48,盧德米爾
01281,npc.name.lyosha,NPC name,48,廖沙
01282,npc.name.makarov,NPC name,48,馬卡羅夫
01283,npc.name.markus,NPC name,48,馬庫斯
01284,npc.name.isidor,NPC name,48,伊西多爾
01285,npc.name.inna,NPC name,48,伊娜
01286,npc.name.iov,NPC name,48,伊奧夫
01287,npc.name.ipatiy,NPC name,48,伊帕季
01288,npc.name.frolov,NPC name,48,弗羅洛夫
01289,npc.name.gedeon,NPC name,48,吉迪恩
01290,npc.name.ermolai,NPC name,48,艾爾莫萊
01291,npc.name.alexeev,NPC name,48,阿列克謝耶夫
01292,npc.name.alyosha_egorov,NPC name,48,阿廖沙·葉戈羅夫
01293,npc.name.anatolii,NPC name,48,阿納託利
01294,quest.quest,"User Interface, quests",16,任務
01295,quest.completed,"User Interface, quests",16,已完成
01296,quest.completed_lower_exclaim,"User Interface, quests",16,已完成！
01297,ui.lights_mode,"User Interface, lights mode",32,燈光模式
01298,ui.lights_timer,"User Interface, lights timer",32,燈光閃爍間隔
01299,ui.lights_1_color,"User Interface, lights color",32,1 號燈光顏色
01300,ui.lights_2_color,"User Interface, lights color",32,2 號燈光顏色
01301,ui.survived,"User Interface, exit screen",40,成功撤離
01302,ui.killed_in_action,"User Interface, exit screen",40,死亡
01303,ui.experience,"User Interface, exit screen",40,狩獵經驗
01304,ui.current,"User Interface, exit screen",40,當前
01305,ui.current_lower,"User Interface, exit screen",40,當前
01306,ui.next_level,"User Interface, exit screen",40,升級所需
01307,ui.next_level_lower,"User Interface, exit screen",40,升級所需
01308,ui.skip,"User Interface, exit screen",40,跳過
01309,ui.approx_roubles_made,"User Interface, exit screen",64,戰利品等值盧布
01310,ui.killed_by,"User Interface, exit screen",40,死於
01311,ui.show_difficulty_settings,"User Interface, exit screen",64,顯示難度設定
01312,ui.stash,Teleport Location,16,儲藏
01313,faction.inter.talk,Interfactions,48,交談
01314,faction.inter.sleep,Interfactions,48,睡覺
01315,faction.inter.enter,Interfactions,48,進入
01316,faction.inter.interact,Interfactions,48,互動
01317,faction.inter.investigate,Interfactions,48,調查
01318,faction.inter.open,Interfactions,48,打開
01319,faction.inter.jam,Interfactions,48,卡殼
01320,faction.inter.fix,Interfactions,48,修復
01321,npc.name.mark,NPC name,48,馬克
01322,faction.inter.place_analyzer,Interfactions,48,放置分析儀
01323,faction.inter.activate_gps,Interfactions,48,啓用 GPS
01324,faction.inter.open_the_valve,Interfactions,48,打開閥門
01325,faction.inter.place_dynamite,Interfactions,48,放置炸藥
01326,faction.inter.turn_on_lights,Interfactions,48,開燈
01327,faction.inter.read,Interfactions,48,閱讀
01328,faction.inter.rip_out_the_tongue_and_eyes,Interfactions,48,挖出舌頭和眼睛
01329,faction.inter.switch_on_off,Interfactions,48,開/關
01330,faction.inter.change_color_1,Interfactions,48,更改 1 號燈光顏色
01331,faction.inter.change_color_2,Interfactions,48,更改 2 號燈光顏色
01332,faction.inter.change_mode,Interfactions,48,更改模式
01333,faction.inter.change_timer,Interfactions,48,更改計時器
01334,faction.inter.give_milk,Interfactions,48,送出牛奶
01335,player.status.fatigue,Player Status,48,疲勞
01336,player.status.well_rested,Player Status,48,精力充沛
01337,player.status.not_tired,Player Status,48,狀態良好
01338,player.status.sleepy,Player Status,48,睏乏
01339,player.status.tired,Player Status,48,疲倦
01340,player.status.very_tired,Player Status,48,精疲力竭
01341,player.status.hunger,Player Status,48,飢餓
01342,player.status.full,Player Status,48,飽足
01343,player.status.not_hungry,Player Status,48,狀態良好
01344,player.status.slightly_hungry,Player Status,48,略感飢餓
01345,player.status.hungry,Player Status,48,飢餓
01346,player.status.starving,Player Status,48,飢餓難耐
01347,player.status.thirst,Player Status,48,口渴
01348,player.status.well_hydrated,Player Status,48,水分充足
01349,player.status.not_thirsty,Player Status,48,狀態良好
01350,player.status.slightly_thirsty,Player Status,48,略感口渴
01351,player.status.thirsty,Player Status,48,口渴
01352,player.status.dehydrated,Player Status,48,脫水
01353,player.status.radiation,Player Status,48,輻射
01354,player.status.not_irradiated,Player Status,48,無輻射
01355,player.status.slightly_irradiated,Player Status,48,輕微輻射
01356,player.status.irradiated,Player Status,48,較高輻射
01357,player.status.dangerously_irradiated,Player Status,48,危險輻射
01358,player.status.fatal_irradiated,Player Status,48,致命輻射
01359,ui.pda.map,PDA Icons,20,地圖
01360,player.status.quest,Player Status,20,任務
01361,player.status.stat,Player Status,20,狀態
01362,player.status.relations,Player Status,20,關係
01363,player.status.skill_tree,Player Status,20,技能
01364,player.status.base,Player Status,20,地堡
01365,tutorial.welcome_to_the_bunker_zero_sievert_one,Tutorial,256,歡迎來到零希沃特地堡，這裏是扎科夫最後的安全地帶之一。
01366,tutorial.in_this_place_you_ll_be_able_to_accept,Tutorial,256,你可以在這裏接受新任務，與商人交易並管理你的裝備。\n在你出發狩獵前，我建議你先探索一下地堡。
01367,tutorial.go_talk_to_the_barman_he_will_surely,Tutorial,256,去和酒保談談，他肯定有一些任務要交給你。\n他還會向你解釋扎科夫發生了什麼。
01368,tutorial.in_order_to_leave_the_bunker_and_go_on,Tutorial,256,要離開地堡狩獵，你需要和列車長談談。\n他就在地堡外。出發前記得找他聊聊，他會向你解釋如何從地圖上撤離。
01369,tutorial.there_is_a_room_in_the_bunker_that_you,Tutorial,256,地堡內吧檯左邊有一個房間，你可以將其當成基地。\n你可以使用工作臺製作新物品，使用箱子存儲物品，安裝各種模組。
01370,tutorial.by_accessing_your_personal_device_j,Tutorial,256,訪問你的個人終端[J]，查看地圖和任務，規劃模組安裝以及使用其他功能。
01371,tutorial.press_tab_to_access_your_inventory_and,Tutorial,256,按[TAB]進入儲藏並裝備背包。\n如果你需要了解更多遊戲機制，請按[ESC]查閱教學。\n祝你好運，獵人！
01372,train.skin.scientists,Train Skin Option Name,64,科學家
01373,faction.loners,Factions,24,獨狼
01374,faction.bandit,Factions,24,強盜
01375,faction.mercenary,Factions,24,僱傭兵
01376,train.skin.green_army,Train Skin Option Name,64,綠軍
01377,faction.player,Factions,24,玩家
01378,item.injector.max_hp,Injector stats,16,生命上限
01379,item.injector.max_hp_title,Injector stats,16,生命上限
01380,item.injector.hp_regen_s,Injector stats,16,生命恢復/秒
01381,item.injector.hp_regen,Injector stats,16,生命恢復
01382,item.injector.health,Injector stats,16,生命
01383,item.injector.bleed,Injector stats,16,流血緩解
01384,item.injector.bleed_rec,Injector stats,16,流血緩解
01385,item.injector.bleed_rec_s,Injector stats,16,流血緩解/秒
01386,item.injector.bleed_immune,Injector stats,16,流血免疫
01387,item.injector.bleed_immune_title,Injector stats,16,流血免疫
01388,item.injector.max_stamina,Injector stats,16,耐力上限
01389,item.injector.max_stamina_title,Injector stats,16,耐力上限
